,mean,std
relative SST,3.575125217437744,3.3829033374786377
SST monthly delta,0.005471842363476753,1.5408048629760742
relative T2m,3.091509008355781,3.662289326001639
air pressure,101285.79248335728,599.7569151122905
wind speed,8.011612892150879,2.108476161956787
surface heat flux,-32.001914978027344,113.77043151855469
M2 tidal amplitude,0.3624646516448888,0.2616554801542446
S2/M2 ratio,0.3793598276224243,0.3476434174793086
water depth,79.17424242424242,44.31164630947952
latitude,54.946969696969695,3.299047691549166
